timestamp1,timestamp2,difference
1678995622163820000,1678995622164989000,1169000
1678995622163821000,1678995622164990000,1169000
1678995622163822000,1678995622164991000,1169000
1678995622163824000,1678995622164993000,1169000
1678995622163825000,1678995622164993000,1168000
1678995622163825000,1678995622164994000,1169000
1678995622163826000,1678995622164995000,1169000
1678995622163827000,1678995622164996000,1169000
1678995622163828000,1678995622164997000,1169000
1678995622163829000,1678995622164998000,1169000
1678995622163830000,1678995622164999000,1169000
1678995622163831000,1678995622165000000,1169000
1678995622163832000,1678995622165000000,1168000
1678995622163832000,1678995622165001000,1169000
1678995622163833000,1678995622165002000,1169000
1678995622163834000,1678995622165003000,1169000
1678995622163835000,1678995622165004000,1169000
1678995622163836000,1678995622165005000,1169000
1678995622163837000,1678995622165006000,1169000
1678995622163838000,1678995622165007000,1169000
1678995622163839000,1678995622165007000,1168000
1678995622163840000,1678995622165008000,1168000
1678995622163841000,1678995622165009000,1168000
1678995622163841000,1678995622165010000,1169000
1678995622163842000,1678995622165011000,1169000
1678995622163843000,1678995622165012000,1169000
1678995622163844000,1678995622165012000,1168000
1678995622163845000,1678995622165013000,1168000
1678995622163846000,1678995622165014000,1168000
1678995622163846000,1678995622165015000,1169000
1678995622163847000,1678995622165016000,1169000
1678995622163848000,1678995622165017000,1169000
1678995622163849000,1678995622165018000,1169000
1678995622163850000,1678995622165018000,1168000
1678995622163851000,1678995622165019000,1168000
1678995622163852000,1678995622165021000,1169000
1678995622163853000,1678995622165021000,1168000
1678995622163854000,1678995622165022000,1168000
1678995622163855000,1678995622165023000,1168000
1678995622163855000,1678995622165024000,1169000
1678995622163856000,1678995622165025000,1169000
1678995622163857000,1678995622165026000,1169000
1678995622163858000,1678995622165026000,1168000
1678995622163859000,1678995622165027000,1168000
1678995622163860000,1678995622165028000,1168000
1678995622163861000,1678995622165029000,1168000
1678995622163861000,1678995622165030000,1169000
1678995622163862000,1678995622165031000,1169000
1678995622163863000,1678995622165032000,1169000
1678995622163864000,1678995622165032000,1168000
1678995622163865000,1678995622165033000,1168000
1678995622163866000,1678995622165034000,1168000
1678995622163867000,1678995622165035000,1168000
1678995622163867000,1678995622165036000,1169000
1678995622163868000,1678995622165037000,1169000
